Without Aug - sub-dependent
No runs found.

Without Aug - LOSO
No runs found.

With Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.8785	0.8785	0.9167	0.9028	0.8924
2	0.7986	0.7882	0.7639	0.7778	0.7500
3	0.9444	0.9410	0.9479	0.9444	0.9549
4	0.8472	0.8681	0.8542	0.8611	0.8472
5	0.7847	0.7812	0.7986	0.7500	0.7535
6	0.7465	0.7292	0.7292	0.7500	0.7535
7	0.9549	0.9375	0.9306	0.9271	0.9097
8	0.8542	0.8611	0.8646	0.8715	0.8854
9	0.8924	0.8854	0.8715	0.9028	0.8924

With Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7083	0.7083	0.7188	0.6875	0.7014
2	0.4757	0.4861	0.4583	0.4410	0.4757
3	0.8299	0.8472	0.8750	0.8403	0.8785
4	0.6042	0.5625	0.5625	0.5521	0.5590
5	0.4792	0.4896	0.4722	0.4896	0.6181
6	0.3681	0.4062	0.3993	0.4028	0.4340
7	0.7569	0.6979	0.6979	0.7431	0.7049
8	0.7083	0.7257	0.7083	0.7361	0.7604
9	0.6250	0.5972	0.6771	0.5799	0.6285

