Without Aug - sub-dependent
No runs found.

Without Aug - LOSO
No runs found.

With Aug - sub-dependent
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.8094	0.7969	0.8000	0.8000	0.8031
2	0.7321	0.6893	0.7036	0.7500	0.7214
3	0.8219	0.8469	0.8625	0.8469	0.8375
4	0.9875	0.9844	0.9844	0.9844	0.9812
5	0.9656	0.9781	0.9781	0.9750	0.9844
6	0.8531	0.8375	0.8594	0.8531	0.8625
7	0.9312	0.9438	0.9344	0.9406	0.9406
8	0.9531	0.9594	0.9469	0.9500	0.9469
9	0.8844	0.8906	0.8844	0.8719	0.8969

With Aug - LOSO
Subject	seed-0	seed-1	seed-2	seed-3	seed-4
1	0.7750	0.7812	0.7844	0.7844	0.7875
2	0.7357	0.7143	0.7214	0.6821	0.7107
3	0.6469	0.6031	0.6375	0.6438	0.6687
4	0.9031	0.8906	0.8906	0.9000	0.8938
5	0.9656	0.9688	0.9719	0.9625	0.9625
6	0.7906	0.7906	0.8094	0.8031	0.8531
7	0.8281	0.8313	0.8406	0.8375	0.8375
8	0.8500	0.8375	0.8562	0.8375	0.8469
9	0.8531	0.8562	0.8594	0.8500	0.8500

